evidence_id,company,legal_entity,topic,product_category,fact_status,summary,source_type,source_title,source_url,published_date,accessed_date,market_scope,evidence_grade,supports_conclusion,notes
BURKERT-COMPANY-001,Bürkert,Christian Bürkert GmbH & Co. KG,企业与产品范围,全部,FACT,"官方产品页覆盖电磁阀、过程和控制阀、电动阀、气动与过程接口、传感器、微流量泵、质量流量控制器、比例阀及工业通信。",官方产品页,Bürkert Products,https://www.burkert.com/en/products,,2026-06-08,全球,B,"Bürkert具备四家中最完整的测量、控制与执行产品链。","产品族事实，不代表所有产品均在中国本地产。"
BURKERT-CHINA-001,Bürkert,宝帝流体控制系统（上海）有限公司,中国布局,售后服务,FACT,"Bürkert中国页面记载1998年进入中国，并列出北京、上海、沈阳、成都、苏州、广州、青岛、武汉和香港等分支。",中国官方站,Bürkert 中国,https://www.burkert.com.cn/cn/1/3/burkert-zhong-guo,,2026-06-08,中国,B,"Bürkert在中国具备较广的销售和服务触点。","分支数量来自公司官方页面。"
BURKERT-CHINA-002,Bürkert,宝得流体控制系统（江苏）有限公司,中国布局,系统方案,FACT,"官方地点页列出太仓Systemhaus、苏州Systemhaus及太仓物流中心。",中国官方站,Bürkert 在您身边,https://www.burkert.com.cn/cn/11/buerkert,,2026-06-08,中国,B,"Bürkert具备中国本地系统开发和物流基础。","未由公开资料量化具体本地交期。"
BURKERT-CHINA-003,Bürkert,宝得流体控制系统（江苏）有限公司,中国生产,系统方案,FACT,"Bürkert于2023年启用太仓港新基地，官方描述其包含系统开发、生产、装配、物流和培训功能，占地约40000平方米。",官方新闻,Agile site for more proximity in the Far East,https://www.burkert.com/en/company-career/what-s-new/press/press-releases/agile-site-for-more-proximity-in-the-far-east,2023-10-11,2026-06-08,中国,B,"Bürkert中国本地化能力具有生产、技术和物流支撑。","未据此推断具体产品的国产化比例。"
BURKERT-PHARMA-001,Bürkert,Christian Bürkert GmbH & Co. KG,制药应用,系统方案,FACT,"官方生物技术页面覆盖过滤、色谱、制药用水、发酵、灌装，并组合多通隔膜阀、阀块、FLOWave、传感器和质量流量控制器。",官方行业页,Fluid solutions for the Biotech industry,https://www.burkert.com/en/industries-solutions/industries/pharmaceutical-industry/the-smarter-the-more-efficient-buerkert-solutions-for-the-biotech-industry-4.0,,2026-06-08,全球,B,"Bürkert的制药竞争力不只来自阀门，而是完整控制回路。","应用组合为官方方案描述。"
BURKERT-DIAPHRAGM-001,Bürkert,Christian Bürkert GmbH & Co. KG,卫生隔膜阀,阀门,FACT,"Type 2103产品资料显示316L阀体可选，接液表面粗糙度可至Ra≤0.38微米，并提供多种连接和膜片配置。",官方技术页,Reliable monitoring measurement and control technology for API manufacturing,https://www.burkert.com/en/industries-solutions/industries/pharmaceutical-industry/reliable-monitoring-measurement-and-control-technology-for-manufacturing-active-pharmaceutical-ingredients-api,,2026-06-08,全球,A,"Bürkert具备适用于卫生和API工艺的隔膜阀技术基础。","具体参数随配置变化。"
BURKERT-DIAPHRAGM-002,Bürkert,Christian Bürkert GmbH & Co. KG,卫生隔膜阀,阀门,FACT,"Type 2104 T型隔膜阀产品页提供0至10 bar、最高约130摄氏度配置，并列出3-A证书及卫生材料声明下载。",官方技术页,Diaphragm T-valve Type 2104,https://www.burkert.com/en/products/process-and-control-valves/hygienic-pharma-hydrogen-speciality-process-valves/diaphragm-valves/pneumatic/300657,,2026-06-08,全球,A,"Bürkert具备T阀和可追溯合规文件支持。","参数对应特定物料号，不能代表全系列。"
BURKERT-AUTOMATION-001,Bürkert,Christian Bürkert GmbH & Co. KG,自动化,执行与控制,FACT,"官方隔膜阀页面将中央、分散和分布式自动化列为并行方案，并提供控制头、位置反馈和数字接口。",官方产品专题,Diaphragm valves,https://www.burkert.com/en/more-about/diaphragm-valves,,2026-06-08,全球,B,"Bürkert在阀门自动化架构上覆盖较完整。","为产品与方案说明。"
BURKERT-DIGITAL-001,Bürkert,Christian Bürkert GmbH & Co. KG,数字化,数字化服务,FACT,"2026年起部分隔膜阀增加符合IEC 61406-1的数据矩阵码，用于访问证书和产品数据。",官方新闻,Bürkert Fluid Control Systems,https://www.burkert.com/en,2026-05-29,2026-06-08,全球,B,"Bürkert正在强化阀门级数字身份和文件访问。","以官网新闻摘要为依据。"
BURKERT-PERFORMANCE-001,Bürkert,Christian Bürkert GmbH & Co. KG,性能主张,阀门,CLAIM,"Bürkert称优化阀体几何可带来高于行业平均水平最高35%的流量系数。",官方应用页,Automated fluidics solutions for pharmaceutical machines,https://www.burkert.com/en/industries-solutions/solutions/applications/automated-fluidics-solutions-for-machines-in-the-pharmaceutical-industry,,2026-06-08,全球,B,"Bürkert以流量效率和膜片寿命作为价值主张。","企业性能主张，未在本轮独立复验。"
GEMU-COMPANY-001,GEMÜ,GEMÜ Gebrüder Müller Apparatebau GmbH & Co. KG,企业与产品范围,全部,FACT,"官方产品页将业务划分为阀门技术、测量与控制技术、定制产品方案和数字化方案。",官方产品页,GEMÜ Products,https://www.gemu-group.com/en-us/products,,2026-06-08,全球,B,"GEMÜ不是单一隔膜阀供应商，但核心仍以阀门和相关控制为中心。","产品广度低于Bürkert的完整流体控制回路。"
GEMU-CHINA-001,GEMÜ,GEMÜ Valves (China) Co. Ltd.,中国布局,售后服务,FACT,"官方2025年周年新闻称GEMÜ中国约有300名员工，基地约21000平方米，研发、生产、销售和服务在此协同。",官方新闻,25 years of GEMÜ China,https://www.gemu-group.com/en/about-gemue/latest-news/news-and-press/short-news-anniversary-china/,2025-10-20,2026-06-08,中国,B,"GEMÜ在中国具备较强的综合本地组织能力。","员工及面积数据为公司披露。"
GEMU-CHINA-002,GEMÜ,GEMÜ Valves (China) Co. Ltd.,中国生产,阀门,FACT,"官方地点页明确中国工厂为集团生产蝶阀。",官方公司页,GEMÜ locations,https://www.gemu-group.com/en-gb/about-gemue/locations-worldwide/,,2026-06-08,中国,B,"GEMÜ存在中国制造，但不能据此推断所有制药隔膜阀均为中国制造。","这是防止扩大解释的关键边界。"
GEMU-PHARMA-001,GEMÜ,GEMÜ Gebrüder Müller Apparatebau GmbH & Co. KG,制药应用,阀门,CLAIM,"GEMÜ称无菌隔膜阀和多通阀块主要用于制药主工艺，截止阀主要用于辅助工艺。",官方行业页,Pharmaceutical biotechnology and cosmetics industries,https://www.gemu-group.com/en_US/shop/sectors/1,,2026-06-08,全球,B,"GEMÜ在制药阀门专业化定位上最鲜明。","应用定位属于企业自述。"
