scenario_id,customer_task,process_stage,decision_unit,burkert_candidates,gemu_candidates,fujikin_candidates,esg_candidates,must_ask_conditions,burkert_exclusion_or_caution,competitor_watchpoint,comparison_dimensions,evidence_ids,internal_validation
APP-001,WFI/PW循环回路的卫生隔离与流量监控,制药用水,完整回路,"2103|2104|2034|2035|8098|8681|8652","650|653|P600M/P600S/P500M|1232/1234/1236","BNWM/BNWC|BSW/BSWCN/LPS","A00/A01","介质电导率与气泡；DN；流量范围；回水温度；排空；Ra；连接；阀位；控制协议；验证文件","FLOWave适用性必须结合介质、气泡和安装条件；单阀项目不应强行扩大为系统销售","GEMÜ多通阀块和卫生阀专业度；Fujikin无堰结构；ESG标准阀成本条件","阀体流路；死区；排空；焊点；膜片；Ra；流量原理；精度；诊断；文件","BURKERT-2103-001|BURKERT-8098-001|GEMU-SERIES-650|GEMU-SERIES-P600M-P600S-P500M|FUJIKIN-SERIES-BNWM-BNWC-66C6E5BE|ESG-SERIES-A00","同规格净价；具体中国产地；膜片库存；实际调试周期"
APP-002,多气体发酵供气与配比,上游生物反应,气体控制回路,"8741|8742|8743|8744|8745|8652|比例阀与压力控制","阀门与过程控制附件；无核心MFC系列","FCST1000/FCST2000","未发现自有MFC","气体；标况；最小/最大流量；入口出口压力；允许压降；精度定义；响应；校准；通信；防爆；洁净要求","不得在气体、标况和量程未锁定时比较精度；MFM和MFC角色不能混用","Fujikin FCS Thermal是直接重叠；高纯气体经验不能自动证明中国制药安装","量程；量程比；精度；重复性；响应；压降；阀座；多气体；校准；协议；服务","BURKERT-8741-001|BURKERT-PHARMA-001|FUJIKIN-FCS-001|FUJIKIN-SERIES-FCST1000-FCST2000-BE84B2C5","Fujikin中国制药安装；双方校准周期与能力；真实服务响应"
APP-003,配液罐或生物反应器底部排放与卫生切换,配液与反应,关键阀组,"2105|2065|2033|2104|2034|2035","643|P40|P600M/P600S/P500M","BNW/BSW/LPS；专用罐底阀证据待确认","A00/A01；T-VALVE证据不足","罐图；接口；安装方向；排空；死区；阀位；介质；颗粒；CIP/SIP；维护空间","罐底阀不能只按DN替代普通直通隔膜阀；必须确认焊接和维护边界","GEMÜ专用罐底和阀块产品深度；ESG T阀新闻不能替代工程图","罐接口；排空；死区；阀体加工；膜片；执行器；传感；文件","BURKERT-DIAPHRAGM-002|GEMU-SERIES-643|GEMU-SERIES-P40|GEMU-SERIES-P600M-P600S-P500M|ESG-SERIES-T-VALVE","竞品罐底安装案例；阀块设计周期；中国加工地点"
APP-004,CIP供回液隔离与清洗流量确认,CIP,主工艺与公用工程组合,"2103|2000|2100|2300|8098|8652","650|550|554|555|流量计组合","BNW/BSW/LPS|BYCFO/BYCFU","A00/A01|100系列|800/801","清洗介质；浓度；温度；流速；压差；循环频次；主工艺边界；阀失效位；流量确认方式","主工艺卫生阀与普通辅助阀应分级；不得把所有位置统一过度设计或降级","ESG可用角座阀和疏水阀形成阀门包；GEMÜ卫生阀与辅助阀组合完整","耐化学性；温压；循环寿命；流量原理；阀座；失效位；维护；总成本","BURKERT-PHARMA-001|BURKERT-8098-001|GEMU-SERIES-650|GEMU-SERIES-550|FUJIKIN-SERIES-BYCFO-BYCFU-BF751B4A|ESG-SERIES-100-101-107-111-120-127|ESG-SERIES-800-801","循环寿命；蒸汽/清洗液故障记录；备件实际交期"
APP-005,洁净蒸汽隔离与冷凝水排放,SIP与洁净公用工程,阀门包,"2000|2100|2300及适用控制附件","550|554|555","BYCFO/BYCFU","100系列|800/801|901","蒸汽等级；压力温度；差压；负荷；背压；排空气；水锤；安装方向；洁净边界","Bürkert角座阀不能替代疏水阀功能；需明确系统责任边界","ESG疏水和排气产品可增强阀门包价格竞争；公开容量与洁净适配不足","阀座；泄漏；蒸汽寿命；疏水原理；容量；背压；排空气；维护周期","BURKERT-COMPANY-001|GEMU-SERIES-550|FUJIKIN-SERIES-BYCFO-BYCFU-BF751B4A|ESG-801-001|ESG-SERIES-800-801|ESG-SERIES-901","疏水容量曲线；洁净蒸汽案例；蒸汽阀寿命；维护周期"
APP-006,层析或纯化撬装中的低死区切换,下游纯化,复杂阀块与自动化,"2034|2035|2036|2104|2106|8681|8652","P600M/P600S/P500M|650|1232/1234/1236","卫生隔膜阀；复杂阀块公开证据不足","A31|103|T-VALVE均不构成等价阀块证据","P&ID；阀位矩阵；流向；排空；死区；焊点；传感器；安装空间；清洗；变更频次","没有P&ID和阀位矩阵不得按单阀数量替代阀块设计；复杂项目应早期应用工程介入","GEMÜ P600/P500是最强直接竞争；既有验证和客户标准可能锁定品牌","流路；阀位；死区；排空；加工方式；焊点；传感；控制；文件；设计周期","BURKERT-PHARMA-001|GEMU-MULTIPORT-001|GEMU-SERIES-P600M-P600S-P500M|ESG-SERIES-A31|ESG-SERIES-103","双方设计周期；项目净价；中国加工；既有安装与变更成本"
APP-007,过滤器完整性测试和PUPSIT流路,过滤,PUPSIT功能模块,"2034|2035|2036|传感与阀岛组合","PUPSIT solutions|P600M/P600S/P500M","公开PUPSIT方案不足","公开PUPSIT方案不足","过滤器类型；测试方法；阀位；上游下游压力；排空；旁路；测试仪接口；法规要求","不能把普通阀组描述成已验证PUPSIT方案；必须确认测试责任和接口","GEMÜ有明确PUPSIT产品解决方案和阀块工程叙事","流路；完整性测试接口；压力测量；阀位；排空；自动化；验证文件","BURKERT-PHARMA-001|GEMU-SERIES-PUPSIT-SOLUTIONS|GEMU-SERIES-P600M-P600S-P500M","Bürkert现有PUPSIT参考项目；测试设备接口；法规验证责任"
APP-008,一次性上游或下游流路切换,一次性生物工艺,一次性接液组件,"2707及系统集成；自有一次性产品边界需确认","SUMONDO Multiport|SU40|SUB|Q30/Q40/Q51","BPV-HIN夹管系统；完整一次性阀块证据不足","夹管/灌装方向；完整一次性证据不足","接液材料；软管；连接；辐照；灭菌；压力；温度；完整性；供应连续性；废弃；换批收益","不得把普通夹管阀等同于完整一次性接液阀体；需明确自有、合作和集成边界","GEMÜ SUMONDO公开证据最完整；耗材供应和验证文件是关键壁垒","一次性边界；材料；辐照；洁净室；连接；完整性；供应；废弃成本","GEMU-SINGLEUSE-001|GEMU-SERIES-SUMONDO-MULTIPORT|GEMU-SERIES-SU40|GEMU-SERIES-SUB|FUJIKIN-SERIES-BPV-HIN-9B49F6A4|BURKERT-COMPANY-001","中国一次性项目量；耗材交期；供应连续性；Bürkert合作方案"
APP-009,罐体或管路无菌取样,过程监测,取样组件,"系统集成与周边卫生阀；专用取样阀需确认","取样/卫生阀组合；具体系列需确认","生命科学卫生阀；专用取样系列需确认","A31","样品体积；取样频次；灭菌方式；残留；容器；连接；操作方式；人员防护；证书","没有专用取样产品时不得用普通卫生阀替代而忽略取样回路和容器","ESG A31具有明确产品信号；证书原件与当前在售状态仍需核实","取样口；死区；灭菌；残留；膜片；容器；操作；文件","ESG-SAMPLING-001|ESG-SERIES-A31|BURKERT-PHARMA-001|GEMU-PHARMA-001","A31在售与证书；各家取样安装案例；系统集成责任"
APP-010,小容量灌装或分析仪器精密定量,灌装与设备,定量功能模块,"6650|7604|7615|微型阀泵与控制组合","灌装阀与一次性产品；具体系列按工况筛选","SVLCDC|MINUCON UN/M2/M3","1AA/1AS/1AJ/1AE/1AK","介质黏度；颗粒；目标体积；节拍；重复性；允许滴漏；死体积；压力；清洗；一次性需求","最小Cv不等于系统定量重复性；必须确认定量原理和实际介质测试","Fujikin SVLCDC专用灌装信号；MINUCON低Cv；ESG灌装阀卫生边界不完整","定量原理；体积；重复性；响应；滴漏；死体积；接液；清洗；寿命","FUJIKIN-SERIES-SVLCDC-244EFA5B|FUJIKIN-MINUCON-001|ESG-SERIES-1AA-1AS|ESG-SERIES-1AJ-1AE-1AK|BURKERT-COMPANY-001","实际介质测试；设备节拍；中国服务；耗材与维护成本"
