series_id,spec_key,value_text,source_url,accessed_date,notes
0322,Ambient temperature,-10 to 50 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/0322,2026-06-09,Exact text from the official product-page technical details table.
0322,Body materials,PA,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/0322,2026-06-09,Exact text from the official product-page technical details table.
0322,Conformities,ATEX EAC FMEDA,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/0322,2026-06-09,Exact text from the official product-page technical details table.
0322,Connection types,thread,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/0322,2026-06-09,Exact text from the official product-page technical details table.
0322,Electrical connection types,"Plug, design A M12 plug",https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/0322,2026-06-09,Exact text from the official product-page technical details table.
0322,Media temperature,-10 to 50 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/0322,2026-06-09,Exact text from the official product-page technical details table.
0322,Nominal size,DN 2,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/0322,2026-06-09,Exact text from the official product-page technical details table.
0322,Operating pressure,0 to 10 bar,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/0322,2026-06-09,Exact text from the official product-page technical details table.
0322,Supply voltages,"120 V AC, 50/60 Hz 230 V AC, 50/60 Hz 24 V AC, 50/60 Hz 24 V DC",https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/0322,2026-06-09,Exact text from the official product-page technical details table.
102,Ambient temperature,10 to 40 °C,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/102,2026-06-09,Exact text from the official product-page technical details table.
102,Body materials,"PVC-U, grey PVDF",https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/102,2026-06-09,Exact text from the official product-page technical details table.
102,Conformities,UL Recognized US,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/102,2026-06-09,Exact text from the official product-page technical details table.
102,Connection standards,DIN ISO,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/102,2026-06-09,Exact text from the official product-page technical details table.
102,Connection types,Solvent cement socket thread,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/102,2026-06-09,Exact text from the official product-page technical details table.
102,Media temperature,-20 to 100 °C,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/102,2026-06-09,Exact text from the official product-page technical details table.
102,Nominal sizes,DN 6 to 10,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/102,2026-06-09,Exact text from the official product-page technical details table.
102,Operating pressure,0 to 4 bar,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/102,2026-06-09,Exact text from the official product-page technical details table.
102,Protection class,IP 65,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/102,2026-06-09,Exact text from the official product-page technical details table.
102,Supply voltages,"120 V AC, 50/60 Hz 230 V AC, 50/60 Hz 24 V AC, 50/60 Hz 24 V DC",https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/102,2026-06-09,Exact text from the official product-page technical details table.
