record_id,spec_key,value_text,source_url,accessed_date,notes
FUBFL-FUB-FUBFN-8D68C619,Maximum nominal sizes,12.7,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUBFL-FUB-FUBFN-8D68C619,Cleanliness,Complete,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUBFL-FUB-FUBFN-8D68C619,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUBFL-FUB-FUBFN-8D68C619,Materials,S,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
PUBF-PUBFL-F198E743,Maximum nominal sizes,12.7,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
PUBF-PUBFL-F198E743,Cleanliness,Class 1,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
PUBF-PUBFL-F198E743,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
PUBF-PUBFL-F198E743,Materials,S,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
VUBF-VUBFD-VUBFH-VUBFN-56F94298,Maximum nominal sizes,12.7,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
VUBF-VUBFD-VUBFH-VUBFN-56F94298,Cleanliness,*,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
VUBF-VUBFD-VUBFH-VUBFN-56F94298,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
VUBF-VUBFD-VUBFH-VUBFN-56F94298,Materials,S,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
VUTW-VUT-VUHGB-25EFB794,Maximum nominal sizes,15A,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
VUTW-VUT-VUHGB-25EFB794,Cleanliness,*,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
VUTW-VUT-VUHGB-25EFB794,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
VUTW-VUT-VUHGB-25EFB794,Materials,S,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUBD-31981576,Maximum nominal sizes,12.7,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUBD-31981576,Cleanliness,Complete,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUBD-31981576,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUBD-31981576,Materials,S,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUDF-E4CD59C7,Maximum nominal sizes,12.7,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUDF-E4CD59C7,Cleanliness,Complete,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUDF-E4CD59C7,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUDF-E4CD59C7,Materials,S,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUNDL-FUND-A5443E89,Maximum nominal sizes,12.7,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUNDL-FUND-A5443E89,Cleanliness,Complete,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUNDL-FUND-A5443E89,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUNDL-FUND-A5443E89,Materials,S,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
DH-12-DUE-12-BH-21-F98A6FE3,Maximum nominal sizes,100A,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
DH-12-DUE-12-BH-21-F98A6FE3,Cleanliness,*,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
DH-12-DUE-12-BH-21-F98A6FE3,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
DH-12-DUE-12-BH-21-F98A6FE3,Materials,B、C,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
DS-11-13117966,Maximum nominal sizes,15A,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
DS-11-13117966,Cleanliness,*,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
DS-11-13117966,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
DS-11-13117966,Materials,C,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
DS-11-13955136,Maximum nominal sizes,10A,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
DS-11-13955136,Cleanliness,*,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
DS-11-13955136,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
DS-11-13955136,Materials,S、C,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FH-UT-7371F90F,Maximum nominal sizes,15A,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FH-UT-7371F90F,Cleanliness,*,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FH-UT-7371F90F,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FH-UT-7371F90F,Materials,S,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUN-FUE-FUH-46ADB9F8,Maximum nominal sizes,10A 12.7,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUN-FUE-FUH-46ADB9F8,Cleanliness,Complete,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUN-FUE-FUH-46ADB9F8,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
FUN-FUE-FUH-46ADB9F8,Materials,S,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
PDS-PDWVP-433F234E,Maximum nominal sizes,15A 12.7 12,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
PDS-PDWVP-433F234E,Cleanliness,*,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
PDS-PDWVP-433F234E,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
PDS-PDWVP-433F234E,Materials,C,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
PUH-134-CA967EA3,Maximum nominal sizes,15A 12.7,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
PUH-134-CA967EA3,Cleanliness,Class 2,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
PUH-134-CA967EA3,Flow rate class,Low,https://www.fujikin.co.jp/en/support/download/,2026-06-09,Exact value from the official English catalogue index row.
