series_id,name_en,name_zh,category,subcategory,product_role,pharma_relevance,pharma_applications,body_material,seal_or_diaphragm,pressure,temperature,connections,automation,fact_status,source_access,official_url,accessed_date,evidence_grade,notes
A00,Pneumatic diaphragm valve,气动隔膜阀,Sanitary valves,Diaphragm valves,Pneumatic hygienic diaphragm valve,HIGH,生物制药、配液、纯化、CIP/SIP及卫生输送,SS316L,EPDM + PTFE double-layer diaphragm,0-10 bar,-10 to +150 C,,Pneumatic; control pressure 4.5-7 bar,FACT,OFFICIAL_PAGE_SEARCH_INDEX,https://www.esgvalve.com/diaphragm-valve-a00.html,2026-06-09,B,Official indexed page states Ra <= 0.4 um. FDA/USP/EC claims require certificate originals.
A01,Manual diaphragm valve,手动隔膜阀,Sanitary valves,Diaphragm valves,Manual hygienic diaphragm valve,HIGH,卫生输送、配液、纯化及设备隔离,Investment cast CF3M or forged S316L,EPDM + PTFE or EPDM,0-10 bar,-10 to +150 C,,Manual,FACT,OFFICIAL_PAGE_SEARCH_INDEX,https://www.esgvalve.cn/diaphragm-valve-a01.html,2026-06-09,B,Official indexed Chinese page states mechanically polished Ra <= 0.4 um.
A31,Manual aseptic sampling valve,手动无菌取样阀,Sanitary valves,Sampling valves,Single- or dual-port aseptic sampling valve,HIGH,罐体及管路无菌取样,AISI 316L,PTFE diaphragm,PN16; operating pressure 0-1.0 MPa,-10 to +150 C,ASME BPE welded or clamp,Manual,FACT,OFFICIAL_PAGE_SEARCH_INDEX,https://www.esgvalve.com/dual-port-manual-aseptic-sampling-valve-a31.html,2026-06-09,B,FDA/USP diaphragm statement remains a company claim until certificate originals are checked.
100/101/107/111/120/127,Angle seat valve family,Y型角座阀系列,Industrial valves,Angle seat valves,Pneumatic and manual angle-seat shut-off valves,MEDIUM,洁净蒸汽、CIP/SIP辅助回路、公用工程及设备阀门包,CF8 or CF8M,PTFE; selected variants FPM,Up to 16 bar depending on series,Typically -10 to +180 C; selected high-temperature versions to +220 C,Threaded; series 120 also lists ASME BPE weld/clamp and flange,Pneumatic or manual by series,FACT,OFFICIAL_PAGE_SEARCH_INDEX,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,B,Grouped family for navigation only; parameters must be compared by individual series.
103,Three-way angle seat valve,三通气控角座阀,Industrial valves,Multi-way valves,Three-way pneumatic angle-seat valve,MEDIUM,设备分流、切换和辅助过程,CF8M,PTFE,0-16 bar,-10 to +180 C,Standard and quick-connect variants shown,Pneumatic; control pressure 3-8 bar,FACT,OFFICIAL_PAGE_SEARCH_INDEX,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,B,Not equivalent to a low-dead-leg machined multi-port diaphragm block.
104/105/106,Proportional control angle seat valve family,比例调节角座阀系列,Industrial valves,Control valves,Pneumatic or electric proportional angle-seat control valves,MEDIUM,蒸汽、温度、压力和设备流量调节,,PTFE variants,,Pneumatic versions -10 to +180 C; selected high-temperature versions to +220 C,,"104/105 pneumatic; 106 electric, 4-20 mA or 0-10 V",FACT,OFFICIAL_PAGE_SEARCH_INDEX,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,B,Control accuracy and turndown require current datasheets and project conditions.
1AA/1AS,Pipe-less filling valve family,无管灌装阀系列,Industrial valves,Filling valves,"Filling valve for viscous, pasty or foamy media",MEDIUM,食品、日化及设备灌装；制药适配需按接液和清洗要求确认,CF8 or CF8M,PTFE,0-7 bar,-10 to +120 C,"BSP, BSPT or NPT threaded",Double-acting with or without spring,FACT,OFFICIAL_PAGE_SEARCH_INDEX,https://www.esgvalve.com/esg-tubeless-series-filling-valve-1aa.html,2026-06-09,B,Threaded construction is not automatically suitable for sterile pharmaceutical filling.
1AJ/1AE/1AK,Filling valve family,灌装阀系列,Industrial valves,Filling valves,General filling valve variants,MEDIUM,灌装设备；具体卫生等级与定量性能待验证,,,,,,,FACT,OFFICIAL_PDF_SEARCH_INDEX,https://www.esgvalve.com/res/en/20220408/0bd846d0bb2622f9.pdf,2026-06-09,C,Official PDF is indexed but returned HTTP 403 during this research run.
0P1,Two-piece intelligent positioner,分体式智能定位器,Control accessories,Positioners,Microprocessor-based valve positioner,MEDIUM,角座阀与隔膜阀调节、远程自动控制,PA6-GF30 + PC enclosure,,Control pressure 3-7 bar,0 to +60 C,G1/4 or M26x1.5,24 V DC; 0/4-20 mA or 0-5/10 V I/O; IP65,FACT,OFFICIAL_PAGE_SEARCH_INDEX,https://www.esgvalve.com/split-intelligent-regulating-locator-0p1.html,2026-06-09,B,Ex nA IIC T4 is stated on the product page; certificate and applicable configuration require verification.
300,Butterfly valve family,蝶阀系列,Industrial valves,Butterfly valves,Butterfly isolation valve family,MEDIUM,公用工程、大口径输送和设备隔离,,,,,,,FACT,OFFICIAL_PAGE_SEARCH_INDEX,https://www.esgvalve.com/,2026-06-09,C,Series exists in official application index; detailed current datasheet not verified.
