review_id,type_id,review_scope,review_status,reviewer,review_date,official_name_checked,category_checked,pharma_relevance_checked,china_visibility_checked,datasheet_links_checked,issues_found,resolution,notes
BURKERT-REVIEW-001,2030,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,PASS,,,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-002,2031,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,NOT_APPLICABLE,,,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-003,2032,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,PASS,,,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-004,2033,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,PASS,,,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-005,2034,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,PASS,,,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-006,2035,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,NOT_APPLICABLE,Product role was initially over-assigned to automation.,Classified by official product name as a multiport diaphragm valve.,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-007,2036,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,PASS,Product role was initially over-assigned to automation.,Classified by official product name as a multiport diaphragm valve.,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-008,2053,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,PASS,The hygienic rotary actuator initially had no pharma task label.,Mapped it to hygienic process-valve actuation and automation.,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-009,2063,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,PASS,,,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-010,2064,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,PASS,,,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-011,2065,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,PASS,,,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-012,2080,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,PASS,,,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-013,2103,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,PASS,,,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-014,2104,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,PASS,,,Reviewed against the cached official global and China Type pages.
BURKERT-REVIEW-015,2105,PHARMA_HIGH_100_PERCENT,PASS,Codex research QA,2026-06-09,YES,YES,YES,YES,PASS,,,Reviewed against the cached official global and China Type pages.
