day,week,module,learning_objective,primary_material,exercise,required_output,coach_review,pass_criteria
1,1,基线与方法,建立当前能力基线并掌握事实状态与证据等级,2026-06-product-knowledge-assessment.md,闭卷完成基础100分自测并标记不确定答案,BASELINE成绩记录和个人缺口清单,产品经理复核致命错误及最低分模块,完成全部题目且每个不确定答案有后续查证路径
2,1,四家公司定位,不看资料讲清四家公司定位与能力边界,2026-06-product-manager-knowledge-playbook.md,制作四家公司一页记忆地图并进行5分钟口述,四家公司定位表和录音或会议记录,教练检查是否把全球能力外推为中国供应,四家公司定位正确且每家至少指出一个不可判断边界
3,1,Bürkert产品骨架,掌握十大产品族及完整控制回路逻辑,burkert-full-product-handbook.md,从十大产品族各选一个Type说明客户任务,十个Type产品角色表,应用工程复核产品角色和分类语境,至少9个角色正确且没有把Type等同Article Number
4,1,Bürkert制药重点,掌握卫生阀测量MFC阀岛与通信组合,burkert-type-catalog.csv,围绕2103、8098、8741、8652制作产品卡,四张产品卡含用途必问工况和排除项,产品经理抽查官方链接和中国可见性表述,四张卡可追溯且中国可见性未写成库存交期
5,1,GEMÜ骨架,掌握卫生隔膜阀多通阀块一次性与自动化重点,gemu-pharma-series-handbook.md,比较650、649、P600、SUMONDO、1441的角色,五系列竞争地图,应用工程复核单阀阀块一次性边界,五系列定位正确且至少列出三个直接重叠点
6,1,Fujikin骨架,区分生命科学卫生跨行业精密流控与半导体高纯,fujikin-product-series-handbook.md,将BNW、FCS Thermal、MINUCON、FINE PURE、IGS分类,三能力线分类表,产品经理检查是否泛化高纯能力,全部分类正确且制药适用结论均有限定条件
7,1,ESG骨架,掌握可核验系列与低成熟证据边界,esg-jingrui-product-handbook.md,制作A00、100、800/801、0P1证据卡,四张证据卡含FACT CLAIM GAP,质量或产品经理复核证据等级,每项声明正确标记且未预设价格交期优势
8,2,卫生阀参数,掌握卫生隔膜阀可比字段与排除逻辑,2026-06-four-company-product-matrix.csv,对四家公司卫生阀建立同字段比较空表,卫生阀归一化比较表,应用工程检查阀体Ra膜片连接工况文件字段,关键字段完整率不低于90%
9,2,证书与文件,区分材料声明设计认证体系认证与批次文件,2026-06-internal-validation-fieldbook.md,审查一份模拟FDA或USP宣传并列出所需原件信息,证书审查清单,质量人员复核主体日期型号材料范围,不得把网页图标作为通过依据
10,2,第一阶段检查,验证产品骨架和参数证据能力,2026-06-product-knowledge-assessment.md,抽答产品骨架与参数证据模块并演示一次目录检索,DAY-10成绩和补强清单,产品经理按100分框架记录四模块成绩,总分不低于60且无致命错误否则安排补课
11,2,WFI与PW,把卫生隔离测量反馈和诊断组成回路,2026-06-pharma-application-selection-matrix.csv,完成APP-001需求到候选Type路径,WFI选型工作纸,应用工程复核介质排空测量与控制边界,候选有依据且至少三个缺失工况和一个排除项
12,2,发酵供气,掌握多气体MFC配比和单品转方案逻辑,2026-06-pharma-application-selection-matrix.csv,完成APP-002并比较8741与FCS Thermal,发酵供气比较表,应用工程检查气体标况量程压力校准通信,不得在气体和量程未知时比较精度优劣
13,2,卫生阀块,掌握多通阀块输入价值与责任边界,2026-06-pharma-application-field-guide.md,根据简化P&ID列阀位矩阵和必须澄清项,阀块工程输入清单,应用工程复核排空死区焊点传感与验证,能解释为什么P600和普通三通阀不等价
14,2,CIP与蒸汽,按过程风险分级卫生阀公用阀与疏水阀,2026-06-pharma-application-selection-matrix.csv,完成APP-004和APP-005分级选型,阀位风险分级表,应用工程检查关键无菌与普通公用工程边界,无关键位置降配且无全部位置过度卫生化
15,3,纯化与PUPSIT,识别过滤完整性测试的功能模块边界,2026-06-product-knowledge-assessment.md,完成高级场景F并画出责任接口,功能模块责任矩阵,产品经理与应用工程联合复核,覆盖测试仪压力点阀位旁路排空控制与验证责任
16,3,一次性工艺,理解一次性方案的技术商业与供应链权衡,2026-06-product-knowledge-assessment.md,完成高级场景G并建立生命周期成本项,一次性决策清单,产品经理和供应链联合复核,同时覆盖产能清洗验证污染耗材供应与废弃成本
17,3,无菌取样,区分专用取样组件与普通卫生阀,2026-06-pharma-application-selection-matrix.csv,完成APP-009并设计客户问诊,无菌取样问诊表,应用工程复核样品体积灭菌残留容器人员防护,不得用普通卫生阀直接替代专用取样功能
18,3,灌装与微量定量,区分阀参数与实际系统定量表现,2026-06-pharma-application-selection-matrix.csv,完成APP-010并比较微流体比例阀与MINUCON方向,定量方案边界表,应用工程检查目标体积节拍介质重复性滴漏,不得把最小Cv直接写成定量精度
19,3,自动化与阀岛,掌握反馈定位阀岛协议诊断的层级,burkert-competitor-series-map.csv,为OEM撬装设计集中气动控制候选架构,自动化I-O与协议清单,自动化产品经理复核设备网关远程I-O角色,能区分开关反馈连续定位和现场总线诊断
20,3,第二阶段检查,验证六类应用的选型和排除能力,2026-06-product-knowledge-assessment.md,随机完成两个基础场景和一个高级场景,DAY-20成绩和应用缺口清单,应用工程按场景评分法打分,总分不低于70且应用判断不低于21且无致命错误
