series_id,name_en,category,subcategory,product_role,actuation,pharma_relevance,pharma_applications,key_features,operating_pressure,media_temperature,sterilization_temperature,nominal_sizes,body_materials,seal_or_diaphragm_materials,connections,conformities,protocols,official_url,accessed_date,evidence_grade,notes
P600M/P600S/P500M,Multi-port valve blocks made of stainless steel,Customised product solutions,Multi-port block valves,Multi-port valve blocks made of stainless steel,,HIGH,低死区分配、混合、排空与复杂无菌流路,,,,,,,,,,,https://www.gemu-group.com/en/products/customised-product-solutions/multi-port-block-valves/multi-port-valve-blocks-made-of-stainless-steel/,2026-06-09,A,Discover flexible multi-port valve blocks made of stainless steel that meet your complex process requirements. Contact us for customised solutions!
PUPSIT solutions,Integrity is not a maybe. It’s a must.,Customised product solutions,PUPSIT,Integrity is not a maybe. It’s a must.,,HIGH,过滤器完整性测试与PUPSIT流路,,,,,,,,,,,https://www.gemu-group.com/en/products/customised-product-solutions/product-solutions-for-pupsit/,2026-06-09,A,"Multi-port block valves and single-use components for reliable integrity testing, compact system designs and GMP-compliant processes."
SUMONDO Multiport,Single-Use multi-port valve blocks,Customised product solutions,Single-use solutions,Single-Use multi-port valve blocks,,HIGH,一次性生物工艺多通流路,,,,,,,,,,,https://www.gemu-group.com/en/products/customised-product-solutions/single-use-solutions/single-use-multi-port-valve-blocks/,2026-06-09,A,Optimize your production with single-use multi-port valve blocks that enhance effectiveness and safety. Discover how these solutions streamline your processes today!
GEMÜ Systems,System solutions with depth and vision,Customised product solutions,System solutions,System solutions with depth and vision,,MEDIUM,定制模块与系统集成；制药范围需按项目确认,,,,,,,,,,,https://www.gemu-group.com/en/products/customised-product-solutions/gemue-systems-system-solutions/,2026-06-09,A,"Streamline your processes with GEMÜ Systems' tailored system solutions. Enhance efficiency, reduce complexities, and drive development forward. Get in touch now!"
CONEXO,Structured management of digital maintenance,Digital solutions,Asset lifecycle management,Structured management of digital maintenance,,MEDIUM,阀门追溯、证书访问和维护生命周期,,,,,,,,,,,https://www.gemu-group.com/en/products/digital-solutions/conexo-asset-lifecycle-management-platform/,2026-06-09,A,"Optimize your maintenance processes with CONEXO. Enjoy efficient, traceable, and future-proof solutions. Discover how we can help—calculate your savings now!"
3020,Electrical flow meter,Measurement And Control Technology,Flow Meters,Electrical flow meter,,MEDIUM,过程流量测量；制药适配需逐系列确认,Very low pressure loss | Short inlet/outlet distances | Precise volume flow measurement | Integrated flow rectifier,0 to 10 bar,-20 to 80 °C,,DN 25 to 50,,,Union end,EAC,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/3020,2026-06-09,A,Official page description: GEMÜ 3020 is a volumetric flow measuring turbine. There is a separation of media between the measuring and evaluating unit and it has integrated flow rectifiers. The evaluating unit uses industrial standard measurement signals and is works calibrated.
801,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option | Corrosion-resistant plastic parts",0 to 15 bar,-20 to 120 °C,,DN 20 to 65,,,Flange Spigot Union end,ATEX,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/801,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
805,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option | Corrosion-resistant plastic parts",0 to 15 bar,-20 to 120 °C,,DN 20 to 65,,,Flange Spigot Union end,ATEX,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/805,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
806,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option",0 to 15 bar,-20 to 120 °C,,DN 20 to 65,,,Flange Spigot Union end,ATEX FDA,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/806,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
807,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option",0 to 15 bar,-20 to 120 °C,,DN 20 to 65,,,Flange Spigot Union end,ATEX FDA,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/807,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
