evidence_id,company,record_id,topic,fact_status,summary,source_type,source_title,source_url,accessed_date,evidence_grade,supports_conclusion,notes
FUJIKIN-SERIES-FUBFL-FUB-FUBFN-8D68C619,Fujikin,FUBFL-FUB-FUBFN-8D68C619,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists FINE series PURE Bellows・Metal Diaphragm series with model code(s) FUBFL FUB FUBFN.,官方产品目录,FINE series PURE Bellows・Metal Diaphragm series,https://www.fujikin.co.jp/support/pdf/710-01_pure_bellows_eng.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-PUBF-PUBFL-F198E743,Fujikin,PUBF-PUBFL-F198E743,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Stainless Steel Bellows Valves 1MPa Type with model code(s) PUBF PUBFL.,官方产品目录,Stainless Steel Bellows Valves 1MPa Type,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-VUBF-VUBFD-VUBFH-VUBFN-56F94298,Fujikin,VUBF-VUBFD-VUBFH-VUBFN-56F94298,Manual Valves / 1-1. Globe Valves,FACT,"The current official catalogue index lists V-Series Bellows Valves 6.89MPa, 4.82MPa with model code(s) VUBF VUBFD VUBFH VUBFN.",官方产品目录,"V-Series Bellows Valves 6.89MPa, 4.82MPa",https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_16.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-VUTW-VUT-VUHGB-25EFB794,Fujikin,VUTW-VUT-VUHGB-25EFB794,Manual Valves / 1-1. Globe Valves,FACT,"The current official catalogue index lists V-Series Instrument Manifold/Gauge Valves 41.3MPa VUTW, VUT, VUHGB Series with model code(s) VUTW VUT VUHGB.",官方产品目录,"V-Series Instrument Manifold/Gauge Valves 41.3MPa VUTW, VUT, VUHGB Series",https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_15.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-FUBD-31981576,Fujikin,FUBD-31981576,Manual Valves / 1-1. Globe Valves,FACT,"The current official catalogue index lists FINE series PURE High Flow Valve series ""Kiwami"" with model code(s) FUBD.",官方产品目录,"FINE series PURE High Flow Valve series ""Kiwami""",https://www.fujikin.co.jp/support/pdf/fufde_high_flow.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-FUDF-E4CD59C7,Fujikin,FUDF-E4CD59C7,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists FINE series PURE Bellows・Metal Diaphragm series with model code(s) FUDF.,官方产品目录,FINE series PURE Bellows・Metal Diaphragm series,https://www.fujikin.co.jp/support/pdf/710-01_pure_bellows_eng.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-FUNDL-FUND-A5443E89,Fujikin,FUNDL-FUND-A5443E89,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists FINE series PURE NEW MEGA® Series with model code(s) FUNDL FUND.,官方产品目录,FINE series PURE NEW MEGA® Series,https://www.fujikin.co.jp/support/pdf/megae_new_mega.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-DH-12-DUE-12-BH-21-F98A6FE3,Fujikin,DH-12-DUE-12-BH-21-F98A6FE3,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Brass／Bronze Needle Valves with model code(s) DH-12 DUE-12 BH-21.,官方产品目录,Brass／Bronze Needle Valves,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-DS-11-13117966,Fujikin,DS-11-13117966,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Brass／Bronze Needle Valves with model code(s) DS-11.,官方产品目录,Brass／Bronze Needle Valves,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-DS-11-13955136,Fujikin,DS-11-13955136,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Female Threaded Needle Stop Valves Economy Type with model code(s) DS-11.,官方产品目录,Female Threaded Needle Stop Valves Economy Type,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-FH-UT-7371F90F,Fujikin,FH-UT-7371F90F,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Super Double Bite Fittings (Abbreviation: SUW) & Process Instrumentation Products SUPER W-BITE FITTING with model code(s) FH-UT.,官方产品目录,Super Double Bite Fittings (Abbreviation: SUW) & Process Instrumentation Products SUPER W-BITE FITTING,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
