evidence_id,company,series_id,topic,fact_status,summary,source_type,source_title,source_url,accessed_date,evidence_grade,supports_conclusion,notes
ESG-SERIES-A00,ESG Jingrui,A00,Sanitary valves / Diaphragm valves,FACT,Indexed official source identifies A00 as Pneumatic diaphragm valve.,官方产品页搜索索引,ESG A00 - Pneumatic diaphragm valve,https://www.esgvalve.com/diaphragm-valve-a00.html,2026-06-09,B,ESG series catalogue; pharma relevance HIGH.,Official indexed page states Ra <= 0.4 um. FDA/USP/EC claims require certificate originals.
ESG-SERIES-A01,ESG Jingrui,A01,Sanitary valves / Diaphragm valves,FACT,Indexed official source identifies A01 as Manual diaphragm valve.,官方产品页搜索索引,ESG A01 - Manual diaphragm valve,https://www.esgvalve.cn/diaphragm-valve-a01.html,2026-06-09,B,ESG series catalogue; pharma relevance HIGH.,Official indexed Chinese page states mechanically polished Ra <= 0.4 um.
ESG-SERIES-A31,ESG Jingrui,A31,Sanitary valves / Sampling valves,FACT,Indexed official source identifies A31 as Manual aseptic sampling valve.,官方产品页搜索索引,ESG A31 - Manual aseptic sampling valve,https://www.esgvalve.com/dual-port-manual-aseptic-sampling-valve-a31.html,2026-06-09,B,ESG series catalogue; pharma relevance HIGH.,FDA/USP diaphragm statement remains a company claim until certificate originals are checked.
ESG-SERIES-100-101-107-111-120-127,ESG Jingrui,100/101/107/111/120/127,Industrial valves / Angle seat valves,FACT,Indexed official source identifies 100/101/107/111/120/127 as Angle seat valve family.,官方产品页搜索索引,ESG 100/101/107/111/120/127 - Angle seat valve family,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,B,ESG series catalogue; pharma relevance MEDIUM.,Grouped family for navigation only; parameters must be compared by individual series.
ESG-SERIES-103,ESG Jingrui,103,Industrial valves / Multi-way valves,FACT,Indexed official source identifies 103 as Three-way angle seat valve.,官方产品页搜索索引,ESG 103 - Three-way angle seat valve,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,B,ESG series catalogue; pharma relevance MEDIUM.,Not equivalent to a low-dead-leg machined multi-port diaphragm block.
ESG-SERIES-104-105-106,ESG Jingrui,104/105/106,Industrial valves / Control valves,FACT,Indexed official source identifies 104/105/106 as Proportional control angle seat valve family.,官方产品页搜索索引,ESG 104/105/106 - Proportional control angle seat valve family,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,B,ESG series catalogue; pharma relevance MEDIUM.,Control accuracy and turndown require current datasheets and project conditions.
ESG-SERIES-1AA-1AS,ESG Jingrui,1AA/1AS,Industrial valves / Filling valves,FACT,Indexed official source identifies 1AA/1AS as Pipe-less filling valve family.,官方产品页搜索索引,ESG 1AA/1AS - Pipe-less filling valve family,https://www.esgvalve.com/esg-tubeless-series-filling-valve-1aa.html,2026-06-09,B,ESG series catalogue; pharma relevance MEDIUM.,Threaded construction is not automatically suitable for sterile pharmaceutical filling.
ESG-SERIES-1AJ-1AE-1AK,ESG Jingrui,1AJ/1AE/1AK,Industrial valves / Filling valves,FACT,Indexed official source identifies 1AJ/1AE/1AK as Filling valve family.,官方产品页搜索索引,ESG 1AJ/1AE/1AK - Filling valve family,https://www.esgvalve.com/res/en/20220408/0bd846d0bb2622f9.pdf,2026-06-09,C,ESG series catalogue; pharma relevance MEDIUM.,Official PDF is indexed but returned HTTP 403 during this research run.
ESG-SERIES-0P1,ESG Jingrui,0P1,Control accessories / Positioners,FACT,Indexed official source identifies 0P1 as Two-piece intelligent positioner.,官方产品页搜索索引,ESG 0P1 - Two-piece intelligent positioner,https://www.esgvalve.com/split-intelligent-regulating-locator-0p1.html,2026-06-09,B,ESG series catalogue; pharma relevance MEDIUM.,Ex nA IIC T4 is stated on the product page; certificate and applicable configuration require verification.
ESG-SERIES-300,ESG Jingrui,300,Industrial valves / Butterfly valves,FACT,Indexed official source identifies 300 as Butterfly valve family.,官方产品页搜索索引,ESG 300 - Butterfly valve family,https://www.esgvalve.com/,2026-06-09,C,ESG series catalogue; pharma relevance MEDIUM.,Series exists in official application index; detailed current datasheet not verified.
ESG-SERIES-400,ESG Jingrui,400,Industrial valves / Ball valves,FACT,Indexed official source identifies 400 as Ball valve family.,官方产品页搜索索引,ESG 400 - Ball valve family,https://www.esgvalve.com/,2026-06-09,C,ESG series catalogue; pharma relevance LOW.,No verified hygienic configuration in this research run.
ESG-SERIES-500,ESG Jingrui,500,Industrial valves / Check valves,FACT,Indexed official source identifies 500 as Check valve family.,官方产品页搜索索引,ESG 500 - Check valve family,https://www.esgvalve.com/,2026-06-09,C,ESG series catalogue; pharma relevance MEDIUM.,Specific clean-steam suitability and condensate behavior require a datasheet.
