record_id,catalogue_title,category,subcategory,product_group,model_numbers,maximum_nominal_sizes,cleanliness,flow_rate_class,materials,pharma_relevance,pharma_basis,pharma_applications,english_catalogue_url,chinese_catalogue_url,official_index_url,accessed_date,evidence_grade,notes
FUBFL-FUB-FUBFN-8D68C619,FINE series PURE Bellows・Metal Diaphragm series,Manual Valves,1-1. Globe Valves,Bellows Valves,FUBFL FUB FUBFN,12.7,Complete,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/710-01_pure_bellows_eng.pdf,https://www.fujikin.co.jp/support/pdf/finec_pure_bellows.pdf,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
PUBF-PUBFL-F198E743,Stainless Steel Bellows Valves 1MPa Type,Manual Valves,1-1. Globe Valves,Bellows Valves,PUBF PUBFL,12.7,Class 1,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
VUBF-VUBFD-VUBFH-VUBFN-56F94298,"V-Series Bellows Valves 6.89MPa, 4.82MPa",Manual Valves,1-1. Globe Valves,Bellows Valves,VUBF VUBFD VUBFH VUBFN,12.7,*,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_16.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
VUTW-VUT-VUHGB-25EFB794,"V-Series Instrument Manifold/Gauge Valves 41.3MPa VUTW, VUT, VUHGB Series",Manual Valves,1-1. Globe Valves,Manifold/Gauge Valves,VUTW VUT VUHGB,15A,*,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_15.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUBD-31981576,"FINE series PURE High Flow Valve series ""Kiwami""",Manual Valves,1-1. Globe Valves,Metal Diaphragm Valves,FUBD,12.7,Complete,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/fufde_high_flow.pdf,https://www.fujikin.co.jp/support/pdf/700-04_high_flow_chnk.pdf,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUDF-E4CD59C7,FINE series PURE Bellows・Metal Diaphragm series,Manual Valves,1-1. Globe Valves,Metal Diaphragm Valves,FUDF,12.7,Complete,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/710-01_pure_bellows_eng.pdf,https://www.fujikin.co.jp/support/pdf/710-01_pure_bellows_chn.pdf,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUNDL-FUND-A5443E89,FINE series PURE NEW MEGA® Series,Manual Valves,1-1. Globe Valves,Metal Diaphragm Valves,FUNDL FUND,12.7,Complete,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/megae_new_mega.pdf,https://www.fujikin.co.jp/support/pdf/megac_new_mega.pdf,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
DH-12-DUE-12-BH-21-F98A6FE3,Brass／Bronze Needle Valves,Manual Valves,1-1. Globe Valves,Needle Valves,DH-12 DUE-12 BH-21,100A,*,Low,B、C,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
DS-11-13117966,Brass／Bronze Needle Valves,Manual Valves,1-1. Globe Valves,Needle Valves,DS-11,15A,*,Low,C,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
DS-11-13955136,Female Threaded Needle Stop Valves Economy Type,Manual Valves,1-1. Globe Valves,Needle Valves,DS-11,10A,*,Low,S、C,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
