evidence_id,company,series_id,topic,fact_status,summary,source_type,source_title,source_url,accessed_date,evidence_grade,supports_conclusion,notes
GEMU-SERIES-P600M-P600S-P500M,GEMÜ,P600M/P600S/P500M,Customised product solutions / Multi-port block valves,FACT,Current official product or solution page identifies P600M/P600S/P500M as Multi-port valve blocks made of stainless steel.,官方产品页,GEMÜ P600M/P600S/P500M - Multi-port valve blocks made of stainless steel,https://www.gemu-group.com/en/products/customised-product-solutions/multi-port-block-valves/multi-port-valve-blocks-made-of-stainless-steel/,2026-06-09,A,GEMÜ current-series catalog; pharma relevance HIGH.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-PUPSIT-SOLUTIONS,GEMÜ,PUPSIT solutions,Customised product solutions / PUPSIT,FACT,Current official product or solution page identifies PUPSIT solutions as Integrity is not a maybe. It’s a must..,官方产品页,GEMÜ PUPSIT solutions - Integrity is not a maybe. It’s a must.,https://www.gemu-group.com/en/products/customised-product-solutions/product-solutions-for-pupsit/,2026-06-09,A,GEMÜ current-series catalog; pharma relevance HIGH.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-SUMONDO-MULTIPORT,GEMÜ,SUMONDO Multiport,Customised product solutions / Single-use solutions,FACT,Current official product or solution page identifies SUMONDO Multiport as Single-Use multi-port valve blocks.,官方产品页,GEMÜ SUMONDO Multiport - Single-Use multi-port valve blocks,https://www.gemu-group.com/en/products/customised-product-solutions/single-use-solutions/single-use-multi-port-valve-blocks/,2026-06-09,A,GEMÜ current-series catalog; pharma relevance HIGH.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-GEM-SYSTEMS,GEMÜ,GEMÜ Systems,Customised product solutions / System solutions,FACT,Current official product or solution page identifies GEMÜ Systems as System solutions with depth and vision.,官方产品页,GEMÜ GEMÜ Systems - System solutions with depth and vision,https://www.gemu-group.com/en/products/customised-product-solutions/gemue-systems-system-solutions/,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-CONEXO,GEMÜ,CONEXO,Digital solutions / Asset lifecycle management,FACT,Current official product or solution page identifies CONEXO as Structured management of digital maintenance.,官方产品页,GEMÜ CONEXO - Structured management of digital maintenance,https://www.gemu-group.com/en/products/digital-solutions/conexo-asset-lifecycle-management-platform/,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-3020,GEMÜ,3020,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 3020 as Electrical flow meter.,官方产品页,GEMÜ 3020 - Electrical flow meter,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/3020,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-801,GEMÜ,801,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 801 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 801 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/801,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-805,GEMÜ,805,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 805 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 805 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/805,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-806,GEMÜ,806,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 806 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 806 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/806,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-807,GEMÜ,807,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 807 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 807 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/807,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-811,GEMÜ,811,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 811 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 811 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/811,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
