type_id,name_en,name_zh,category,subcategory,product_role,operating_principle,primary_media,primary_applications,pharma_relevance,pharma_applications,lifecycle_status,china_visibility,global_product_url,china_product_url,english_datasheet_url,chinese_datasheet_url,accessed_date,evidence_grade,notes
0044,Pneumatic cylinder in plastic according to ISO,符合 ISO 标准的塑料材质气动缸,气动与过程接口,Pneumatic Cylinder > Double Acting,Double Acting,Single-acting pneumatic cylinders (Type 0045) and double-acting pneumatic cylinders (Type 0044) according to ISO 6432 (Ø 12…25 mm) without end position damping and according to ISO 15552 (Ø 32…50 mm) with end position damping with piston rod nut.,腐蚀性介质,食品饮料,MEDIUM,制药设备气动自动化,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0044,https://www.burkert.com.cn/cn/type/0044,https://www.burkert.com/en/Media/plm/DTS/DS/ds0044-standard-eu-en.pdf?id=DTS0000000000000001000268330ENK,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Pneumatics and Process Interfaces > Pneumatic Cylinder > Double Acting."
0045,Pneumatic cylinder in plastic according to ISO,符合 ISO 标准的塑料材质气动缸,气动与过程接口,Pneumatic Cylinder > Single Acting,Single Acting,Single-acting (Type 0045) and double-acting (Type 0044) pneumatic cylinders according to ISO 6432 (Ø 12…25 mm) without end position damping and according to ISO 15552 (Ø 32…50 mm) with end position damping with piston rod nut.,腐蚀性介质,食品饮料,MEDIUM,制药设备气动自动化,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0045,https://www.burkert.com.cn/cn/type/0045,,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Pneumatics and Process Interfaces > Pneumatic Cylinder > Single Acting."
0117,2/2 way plunger solenoid valve with separating diaphragm,二位二通隔膜柱塞式电磁阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,"Type 117 is a normally-closed direct-actingplunger-type solenoid valve with PTFE-coated diaphragm. The diaphragm isolates the fluidfrom the solenoid system. When deenergized (in circuit function A)the valve is closed by spring action. When energized, the solenoid armature is drawn in 2/2 way, G 1/8, UNF 1/4-28 FluidControl Systems against a spring to open the valve. The solenoid epoxy encapsulation efficiently dissipates the heat generated by the coil.",液体/气体,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0117,https://www.burkert.com.cn/cn/type/0117,https://www.burkert.com/en/Media/plm/DTS/DS/ds0117-standard-eu-en.pdf?id=DTS0000000000000001000010903ENK,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids | Solenoid Valves > Media Separated | Microfluidics Products and Pumps > 2/2 and 3/2 way Micro Solenoids > Media Separated."
0121,Direct-acting 2/2 or 3/2-way pivoted armature valve,直动式两位两通或二位三通枢轴电枢阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,"The 0121 valve is a direct-acting, media separated pivoted armature valve. It is available as a 2/2 and 3/2-way variant. As a 3/2-way variant, it can be used as a distributor or mixing valve. Various diaphragm materials and circuit functions are available depending on the actual application. The range of bodies includes stainless steel, PTFE and PVC. The solenoid coils are moulded with a chemically resistant epoxy. Since the coil system is separated from the medium by a diaphragm, the valve is especially suitable for critical media such as aggressive acids and lyes. The 0121 is equipped with manual override for start-up and testing. To reduce energy demands, all the coils can be delivered with electronic power reduction or as an impulse variant. The switching status can be indicated via position feedback as a binary or NAMUR signal.",腐蚀性介质,混合,LOW,,CURRENT,CHINA_PAGE_AND_ZH_DATASHEET,https://www.burkert.com/en/type/0121,https://www.burkert.com.cn/cn/type/0121,https://www.burkert.com/en/Media/plm/DTS/DS/ds0121-standard-eu-en.pdf?id=DTS0000000000000001000010904ENS,https://www.burkert.com/en/Media/plm/DTS/DS/ds0121-standard-cn-zh.pdf?id=DTS0000000000000001000721755ZH-,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids | Solenoid Valves > Media Separated | Solenoid Valves > General Purpose 3/2 Solenoids | Solenoid Valves > Hazardous Location Solenoids."
0124,Direct-acting 2/2 or 3/2 way pivoted armature valve,直动式二位三通旋启式衔铁阀,电磁阀,Media Separated,Media Separated,"The Type 0124 is a direct-acting 2/2 or 3/2-way pivoted armature solenoid valve. Deliverable in many circuit functions for opening, closing, dosing, mixing and distribution. The magnetic system and the media chamber are separated from one another by a separating diaphragm system.",,定量/加注；混合,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0124,https://www.burkert.com.cn/cn/type/0124,https://www.burkert.com/en/Media/plm/DTS/DS/ds0124-standard-eu-en.pdf?id=DTS0000000000000001000010905END,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > Media Separated | Solenoid Valves > General Purpose 3/2 Solenoids | Solenoid Valves > General Purpose 2/2 Solenoids."
0125,Direct-acting 2/2 or 3/2 way pivoted armature valve,直动式二位三通旋启式衔铁阀,电磁阀,General Purpose 3/2 Solenoids,General Purpose 3/2 Solenoids,,,General Purpose 3/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0125,https://www.burkert.com.cn/cn/type/0125,,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 3/2 Solenoids | Solenoid Valves > General Purpose 2/2 Solenoids | Solenoid Valves > Media Separated."
0127,2/2-way or 3/2-way rocker solenoid valve with separating diaphragm,二位二通或二位三通摇臂隔膜式电磁阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,"Bürkert’s unique Type 0127 solenoid valve is pre-destined for use in laboratory, medical and analytical technology as the pioneer of small media-separated valves. It continues to set the pace today with its rocker technology, which activates the separating diaphragms between actuator and fluid. It guarantees precise switching of tiny volumes of even aggressive media at the lowest temperature input, thanks to the coil. It is also very easy to flush and is characterised by its minimal internal volume and freedom from almost all dead space. The valves can be stacked on manifolds and can be wired with central wiring on request. Special variants with minimum dead space are available on request.",液体/气体；腐蚀性介质,实验室设备；医疗设备,LOW,,CURRENT,CHINA_PAGE_AND_ZH_DATASHEET,https://www.burkert.com/en/type/0127,https://www.burkert.com.cn/cn/type/0127,https://www.burkert.com/en/Media/plm/DTS/DS/ds0127-standard-eu-en.pdf?id=DTS0000000000000001000010906ENAA,https://www.burkert.com/en/Media/plm/DTS/DS/ds0127-standard-cn-zh.pdf?id=DTS0000000000000001000580056ZHG,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids | Solenoid Valves > General Purpose 3/2 Solenoids | Solenoid Valves > Media Separated | Microfluidics Products and Pumps > 2/2 and 3/2 way Micro Solenoids > Media Separated."
0131,Direct-acting 2/2-way or 3/2-way toggle valve,直动式二位二通或二位三通肘节阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,"The 0131 valve is a direct-acting toggle valve. A variety of seal material combinations are available depending on the application. Thanks to the diaphragm separation between actuator and valve body, aggressive media such as acids and alkaline solutions can also be safely controlled. The assortment is rounded out with plastic housings made of PVC. The solenoids are moulded with a highly resistant chemical epoxy. “Kick and drop” electronics are moulded into all DC solenoid variants for reduced electrical power consumption. An optional electrical position feedback sensor reliably detects the switching position. Conformity for drinking water applications according to the German regulations (drinking water regulation) is available. Furthermore, variants of type 0131 are available that conform with DIN EN 45545:2016 (standard parts 2 and 5) – fire protection in railway vehicles.",水；腐蚀性介质,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0131,https://www.burkert.com.cn/cn/type/0131,https://www.burkert.com/en/Media/plm/DTS/DS/ds0131-standard-eu-en.pdf?id=DTS0000000000000001000010907ENR,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids | Solenoid Valves > Media Separated | Solenoid Valves > General Purpose 3/2 Solenoids."
0142,"Diaphragm valve, 2/2-way, servo-assisted",伺服控制式二位二通隔膜阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,"The 0142 valve is a servo-assisted diaphragm valve. A minimum differential pressure of 0.5 bar is required to open and close the valve. Various diaphragm materials and circuit functions are available depending on the actual application. The circuit function fo the 3/2 way pilot valve can be easily converted NC to NO by rotating it on the main seat. The pilot valve position feedback can take place with a switching or NAMUR signal. The solenoid coils are moulded with a chemically resistant epoxy. The 0142 is equipped with manual override for start-up and testing. To reduce electrical power consumption during operation, coils with integrated “Kick and Drop” (KD) electronics featuring double coil technology are available.",腐蚀性介质,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0142,https://www.burkert.com.cn/cn/type/0142,https://www.burkert.com/en/Media/plm/DTS/DS/ds0142-standard-eu-en.pdf?id=DTS0000000000000001000010909ENL,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids | Solenoid Valves > Media Separated | Solenoid Valves > Hazardous Location Solenoids."
0200,Direct-acting 2/2-way plunger valve,直动式二位二通升降式衔铁阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,"Type 200 is a direct-acting plunger type solenoid valve normally closedby spring action (circuit function A). A diaphragm isolates the fluid from the solenoid system. When energized, the solenoid armature is drawn against a spring to open the valve. The solenoid epoxy encap sulation efficiently dissipates the heat generated by the coil. Specific testing and cleaning and low power versions are available according to application requirements.",液体/气体,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0200,https://www.burkert.com.cn/cn/type/0200,https://www.burkert.com/en/Media/plm/DTS/DS/ds0200-standard-eu-en.pdf?id=DTS0000000000000001000010912ENA,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids."
