type_id,spec_group,spec_key,value_min,value_max,value_text,unit,configuration_scope,source_url,accessed_date,notes
0044,actuation,actuation_method,,,pneumatic,,Type-level official page description,https://www.burkert.com/en/type/0044,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0044,dimensions,diameter_range_1,12,25,Ø 12…25 mm,mm,Type-level official page description,https://www.burkert.com/en/type/0044,2026-06-09,Explicit range extracted from the official Type page; confirm configuration-specific limits in the data sheet.
0044,dimensions,diameter_range_2,32,50,Ø 32…50 mm,mm,Type-level official page description,https://www.burkert.com/en/type/0044,2026-06-09,Explicit range extracted from the official Type page; confirm configuration-specific limits in the data sheet.
0044,materials,explicit_materials,,,plastic,,Type-level official page description,https://www.burkert.com/en/type/0044,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0045,actuation,actuation_method,,,pneumatic,,Type-level official page description,https://www.burkert.com/en/type/0045,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0045,dimensions,diameter_range_1,12,25,Ø 12…25 mm,mm,Type-level official page description,https://www.burkert.com/en/type/0045,2026-06-09,Explicit range extracted from the official Type page; confirm configuration-specific limits in the data sheet.
0045,dimensions,diameter_range_2,32,50,Ø 32…50 mm,mm,Type-level official page description,https://www.burkert.com/en/type/0045,2026-06-09,Explicit range extracted from the official Type page; confirm configuration-specific limits in the data sheet.
0045,materials,explicit_materials,,,plastic,,Type-level official page description,https://www.burkert.com/en/type/0045,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0117,actuation,actuation_method,,,solenoid,,Type-level official page description,https://www.burkert.com/en/type/0117,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0117,materials,explicit_materials,,,PTFE,,Type-level official page description,https://www.burkert.com/en/type/0117,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0117,seals,explicit_seal_materials,,,PTFE,,Type-level official page description,https://www.burkert.com/en/type/0117,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0121,actuation,actuation_method,,,solenoid | manual,,Type-level official page description,https://www.burkert.com/en/type/0121,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0121,function,way_configuration,,,3/2-way,,Type-level official page description,https://www.burkert.com/en/type/0121,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0121,materials,explicit_materials,,,stainless steel | PTFE,,Type-level official page description,https://www.burkert.com/en/type/0121,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0121,seals,explicit_seal_materials,,,PTFE,,Type-level official page description,https://www.burkert.com/en/type/0121,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0124,actuation,actuation_method,,,solenoid | manual,,Type-level official page description,https://www.burkert.com/en/type/0124,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0124,connection,explicit_connection_types,,,flange,,Type-level official page description,https://www.burkert.com/en/type/0124,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0124,function,way_configuration,,,3/2-way,,Type-level official page description,https://www.burkert.com/en/type/0124,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0124,materials,explicit_materials,,,plastic,,Type-level official page description,https://www.burkert.com/en/type/0124,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0125,actuation,actuation_method,,,solenoid,,Type-level official page description,https://www.burkert.com/en/type/0125,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0127,actuation,actuation_method,,,solenoid,,Type-level official page description,https://www.burkert.com/en/type/0127,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0127,compliance,explicit_certifications_or_ratings,,,USP,,Type-level official page description,https://www.burkert.com/en/type/0127,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0127,function,way_configuration,,,2/2-way,,Type-level official page description,https://www.burkert.com/en/type/0127,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0131,actuation,actuation_method,,,solenoid | manual,,Type-level official page description,https://www.burkert.com/en/type/0131,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0131,function,way_configuration,,,2/2-way,,Type-level official page description,https://www.burkert.com/en/type/0131,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0131,materials,explicit_materials,,,plastic,,Type-level official page description,https://www.burkert.com/en/type/0131,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0142,actuation,actuation_method,,,solenoid | manual,,Type-level official page description,https://www.burkert.com/en/type/0142,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0142,function,way_configuration,,,2/2-way,,Type-level official page description,https://www.burkert.com/en/type/0142,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0142,materials,explicit_materials,,,plastic,,Type-level official page description,https://www.burkert.com/en/type/0142,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0200,actuation,actuation_method,,,solenoid,,Type-level official page description,https://www.burkert.com/en/type/0200,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0200,connection,explicit_connection_types,,,thread,,Type-level official page description,https://www.burkert.com/en/type/0200,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0200,function,way_configuration,,,2/2-way,,Type-level official page description,https://www.burkert.com/en/type/0200,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0200,materials,explicit_materials,,,stainless steel | brass,,Type-level official page description,https://www.burkert.com/en/type/0200,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0201,actuation,actuation_method,,,solenoid,,Type-level official page description,https://www.burkert.com/en/type/0201,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0201,connection,explicit_connection_types,,,flange,,Type-level official page description,https://www.burkert.com/en/type/0201,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0201,function,way_configuration,,,2/2-way,,Type-level official page description,https://www.burkert.com/en/type/0201,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
0201,materials,explicit_materials,,,stainless steel | brass,,Type-level official page description,https://www.burkert.com/en/type/0201,2026-06-09,Only values explicitly present in the official Type page title or description are recorded.
