category,subcategory,application,burkert,gemu,fujikin,esg_jingrui,direct_overlap,pharma_relevance,comparison_basis,evidence_ids,notes
阀门,卫生隔膜阀,"配液、发酵、纯化、CIP/SIP、无菌输送","强：手动/气动/电动、直通/T型/罐底及多种阀体","强：无菌隔膜阀为核心，手动/气动/电动覆盖","强：BNW及无堰系列，手动和自动覆盖","中强：A00系列气动隔膜阀及相关手动产品","四家直接重叠",高,"316L、表面、膜片、压力温度、连接与文件支持","BURKERT-CATALOG-002|BURKERT-DIAPHRAGM-001|BURKERT-DIAPHRAGM-002|GEMU-PHARMA-001|FUJIKIN-DIAPHRAGM-001|FUJIKIN-DIAPHRAGM-002|ESG-DIAPHRAGM-001","不可将单一代表型号参数外推到全系列。"
阀门,多通阀块/T阀/罐底阀,"低死区分配、混合、排空、罐底和PUPSIT","强：Robolux、多通阀块、T阀、罐底阀","强：P600M/P600S/P500M及定制多通阀块","中：公开卫生隔膜阀广，但本轮多通阀块证据有限","中：T阀、三通和取样产品；复杂阀块证据有限","Bürkert与GEMÜ最直接",高,"产品结构、定制深度、死区与文件","BURKERT-CATALOG-002|BURKERT-PHARMA-001|BURKERT-DIAPHRAGM-002|GEMU-MULTIPORT-001|ESG-SAMPLING-001","Fujikin和ESG需补充复杂多通阀块项目证据。"
阀门,角座/截止/控制阀,"蒸汽、公用工程、CIP/SIP辅助回路、灌装","强：过程阀和控制阀产品族","强：截止阀、控制阀、灌装阀","强：针阀、截止阀、控制阀和MINUCON","强：角座阀、比例控制阀、灌装阀","四家直接或邻近重叠",高,"介质、压力温度、执行方式和控制精度","BURKERT-CATALOG-002|BURKERT-COMPANY-001|GEMU-COMPANY-001|FUJIKIN-COMPANY-001|ESG-PRODUCT-001","产品用途跨度大，须按具体工况比较。"
阀门,球阀/蝶阀/止回阀,"公用工程、大口径输送、隔离","强：过程阀产品族覆盖","强：蝶阀、球阀及多材料方案","强：球阀、止回及多类工业阀","强：蝶阀、球阀、止回阀","四家重叠",中,"口径、衬里、卫生要求和执行方式","BURKERT-CATALOG-002|BURKERT-COMPANY-001|GEMU-CHINA-002|FUJIKIN-COMPANY-001|ESG-PRODUCT-001","GEMÜ中国工厂明确生产蝶阀。"
执行与控制,气动/电动执行器与控制头,"阀门开关、定位、状态反馈","强：ELEMENT、控制头、阀岛和多种自动化架构","强：手动/气动/电动执行器及定位器","中：自动阀与控制阀覆盖，系统级控制公开证据较少","中：气动执行及0P0/0P1定位器","四家重叠但深度不同",高,"执行方式、位置反馈、通信和诊断","BURKERT-CATALOG-002|BURKERT-AUTOMATION-001|GEMU-DIGITAL-001|FUJIKIN-DIAPHRAGM-002|ESG-AUTOMATION-001","Bürkert自动化广度最强，GEMÜ次之。"
执行与控制,阀岛/气动系统,"设备气动自动化、控制柜集成","强：AirLINE/阀岛/控制柜及集中、分散、分布式方案","有限至中：以阀门执行和控制附件为主","无法判断：本轮未发现完整阀岛产品族证据","无法判断：本轮未发现阀岛产品族证据","主要为Bürkert差异化",中高,"产品族和系统集成证据","BURKERT-CATALOG-002|BURKERT-AUTOMATION-001|BURKERT-PHARMA-001|GEMU-COMPANY-001","缺证不等于绝对无能力。"
测量与传感,流量/压力/温度/液位/分析,"WFI、CIP介质切换、过程监控","强：FLOWave及多参数传感、变送和控制","中：流量计、压力温度测量和位置反馈","有限：有测量/分析行业产品，但主产品目录偏阀与系统","无法判断：未发现自有传感器产品族","Bürkert明显领先",高,"公开产品族和制药应用组合","BURKERT-CATALOG-002|BURKERT-PHARMA-001|BURKERT-COMPANY-001|GEMU-COMPANY-001|GEMU-DIGITAL-001|ESG-PORTFOLIO-GAP-001","Fujikin生命科学业务不可直接等同过程传感器产品族。"
流量控制,质量流量计/控制器,"发酵供气、精密气液配比、实验室过程","强：MFC/MFM和液体流量控制器","有限：测量与控制产品存在，MFC不是本轮核心证据","强但偏高纯气体：FCS Thermal及流量控制系统","无法判断","Bürkert与Fujikin直接重叠",高,"介质类型、精度、量程、通信和制药适配","BURKERT-CATALOG-002|BURKERT-COMPANY-001|BURKERT-PHARMA-001|FUJIKIN-FLOW-001|ESG-PORTFOLIO-GAP-001","Fujikin需补充中国制药发酵/配气项目证据。"
泵与流体输送,微型泵/接头/管路附件,"分析仪器、微流控、设备内部输送","强：微型阀、隔膜泵及附件","有限：连接技术和单次使用组件","强：多类不锈钢/PFA接头、焊接设备及附件","中：过滤器、疏水阀和部分管路附件","重叠分散",中,"产品族和目标应用","BURKERT-CATALOG-002|BURKERT-COMPANY-001|GEMU-COMPANY-001|FUJIKIN-COMPANY-001|ESG-PRODUCT-001","四家在该类别的价值主张不同。"
系统方案,定制模块/完整控制回路,"设备模块、撬装、WFI和定制流体系统","强：Systemhaus、定制控制回路、阀块和控制柜","强：定制多通阀块、单次使用组件及阀门系统","中：IGS/FCS等系统，但制药系统公开证据有限","有限：以阀门及附件供应为主，完整系统证据不足","Bürkert与GEMÜ最强",高,"项目开发、工程集成、文件和本地交付","BURKERT-CHINA-002|BURKERT-PHARMA-001|GEMU-MULTIPORT-001|GEMU-SINGLEUSE-001|FUJIKIN-FLOW-001|ESG-PORTFOLIO-GAP-001","Fujikin IGS强项主要面向高纯气体。"
