series_id,spec_key,value_text,fact_status,source_url,accessed_date,notes
A00,Body material,SS316L,FACT,https://www.esgvalve.com/diaphragm-valve-a00.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A00,Seal or diaphragm,EPDM + PTFE double-layer diaphragm,FACT,https://www.esgvalve.com/diaphragm-valve-a00.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A00,Pressure,0-10 bar,FACT,https://www.esgvalve.com/diaphragm-valve-a00.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A00,Temperature,-10 to +150 C,FACT,https://www.esgvalve.com/diaphragm-valve-a00.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A00,Automation,Pneumatic; control pressure 4.5-7 bar,FACT,https://www.esgvalve.com/diaphragm-valve-a00.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A01,Body material,Investment cast CF3M or forged S316L,FACT,https://www.esgvalve.cn/diaphragm-valve-a01.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A01,Seal or diaphragm,EPDM + PTFE or EPDM,FACT,https://www.esgvalve.cn/diaphragm-valve-a01.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A01,Pressure,0-10 bar,FACT,https://www.esgvalve.cn/diaphragm-valve-a01.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A01,Temperature,-10 to +150 C,FACT,https://www.esgvalve.cn/diaphragm-valve-a01.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A01,Automation,Manual,FACT,https://www.esgvalve.cn/diaphragm-valve-a01.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A31,Body material,AISI 316L,FACT,https://www.esgvalve.com/dual-port-manual-aseptic-sampling-valve-a31.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A31,Seal or diaphragm,PTFE diaphragm,FACT,https://www.esgvalve.com/dual-port-manual-aseptic-sampling-valve-a31.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A31,Pressure,PN16; operating pressure 0-1.0 MPa,FACT,https://www.esgvalve.com/dual-port-manual-aseptic-sampling-valve-a31.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A31,Temperature,-10 to +150 C,FACT,https://www.esgvalve.com/dual-port-manual-aseptic-sampling-valve-a31.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A31,Connections,ASME BPE welded or clamp,FACT,https://www.esgvalve.com/dual-port-manual-aseptic-sampling-valve-a31.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A31,Automation,Manual,FACT,https://www.esgvalve.com/dual-port-manual-aseptic-sampling-valve-a31.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
100/101/107/111/120/127,Body material,CF8 or CF8M,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
100/101/107/111/120/127,Seal or diaphragm,PTFE; selected variants FPM,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
100/101/107/111/120/127,Pressure,Up to 16 bar depending on series,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
100/101/107/111/120/127,Temperature,Typically -10 to +180 C; selected high-temperature versions to +220 C,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
100/101/107/111/120/127,Connections,Threaded; series 120 also lists ASME BPE weld/clamp and flange,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
100/101/107/111/120/127,Automation,Pneumatic or manual by series,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
103,Body material,CF8M,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
