fujikin_series,fujikin_capability_line,fujikin_role,burkert_types,overlap_type,pharma_scenario,fujikin_competitive_strength,burkert_response,comparison_dimensions,evidence_ids,confidence,gaps
BNWM/BNWC,Life science hygienic,Manual and automatic weir diaphragm valves,2030|2063|2103,DIRECT,配液、纯化、CIP/SIP与卫生输送,316L、卫生连接、Class 1洁净等级及生命科学产品定位。,锁定具体型号后比较阀体、膜片、Ra、排空、认证、执行器和控制头。,DN；Cv；阀体；Ra；膜片；连接；压力；温度；认证；自动化,FUJIKIN-SERIES-BNWM-BNWC-66C6E5BE|FUJIKIN-SERIES-BNWC-2F0E12E0,HIGH,中国生产型号、库存、净价、验证文件和项目交期需确认。
BSW/BSWCN/LPS,Life science hygienic,Weirless diaphragm valve families,2030|2063|2103,DIRECT_OR_DIFFERENT_DESIGN,高流量卫生输送、配液和设备内部流路,无堰结构和较高流量等级形成差异化卫生阀选择。,不可只按DN比较；应核对流路结构、排空、膜片受力、Cv和维护方式。,流路；Cv；排空；死区；膜片；压力；温度；连接；维护,FUJIKIN-SERIES-BSW-F5AFD21C|FUJIKIN-SERIES-BSWCN-AD5BAF95|FUJIKIN-SERIES-LPSM-LPSL-88A88889|FUJIKIN-SERIES-LPS-5E67B882,HIGH,无堰结构在具体无菌验证中的项目接受度需客户证据。
BPV-HIN,Life science hygienic,Pinch valve system,2707,DIRECT_OR_ADJACENT,软管流路、一次性外围和颗粒敏感介质,BNW生命科学组合中包含专用夹管阀系统。,比较软管规格、压力、夹紧力、寿命、失效位及耗材验证。,软管；压力；温度；夹紧力；寿命；执行方式；失效位,FUJIKIN-SERIES-BPV-HIN-9B49F6A4,MEDIUM,一次性接液边界、辐照和生物相容性文件需按耗材系统确认。
BYCFO/BYCFU,Life science utility,Angle seat valves,2000|2100|2300,DIRECT,洁净蒸汽、CIP/SIP辅助回路、公用工程和灌装,与卫生隔膜阀组合进入生命科学设备阀门包。,强调角座阀产品深度、调节版本、ELEMENT自动化和完整公用工程回路。,介质；Kv/Cv；压差；温度；阀座；泄漏；执行器；定位器,FUJIKIN-SERIES-BYCFO-BYCFU-BF751B4A,HIGH,蒸汽寿命、具体卫生符合性和中国备件仍需项目验证。
SVLCDC,Life science filling,Small-volume filling valve,6650|7604|7615,DIRECT_OR_ADJACENT,小剂量灌装、分析设备和精密定量,专用小容量灌装系列，应用叙事比通用过程阀更聚焦。,先确认定量原理，再比较死体积、重复性、清洗、响应和介质隔离。,定量原理；单次体积；重复性；死体积；压力；清洗；响应,FUJIKIN-SERIES-SVLCDC-244EFA5B,MEDIUM,目录索引未披露完整定量性能，需使用当前数据表。
MINUCON UN/M2/M3,Cross-industry precision control,Diaphragm-type mini control valves,2861|2863|2865|2871|2873|2875|2300,DIRECT_OR_ADJACENT,微小流量调节、设备气液控制和精密加注,低Cv精密控制阀形成单品技术深度。,区分直接作用比例阀与执行器控制阀，按介质、Cv、压差和控制性能比较。,介质；Cv；特性；压差；泄漏；迟滞；重复性；执行器；定位,FUJIKIN-SERIES-UN-115-UN-130-UN-150-953E87EE|FUJIKIN-SERIES-M2-M3-FEA975F3|FUJIKIN-SERIES-M2-M3-D64FEC55,HIGH,制药卫生接液、清洗验证和中国安装案例不能从精密控制能力直接推出。
FCST1000/FCST2000,Cross-industry precision control,Thermal mass flow controllers,8700|8701|8702|8703|8741|8742|8743|8744|8745,DIRECT,发酵供气、气体配比和设备精密气路,成熟高纯气体质量流量控制与多语言技术目录。,按气体、标况、量程、精度定义、响应、压降、阀座、通信和校准比较。,气体；标况；量程；精度；响应；压降；校准；阀座；通信,FUJIKIN-SERIES-FCST1000-FCST2000-BE84B2C5,HIGH,中国制药发酵安装、校准服务和卫生气体文件仍需客户或内部验证。
FCSP7000/FCSP8000,Semiconductor/high-purity system,Pressure-based flow control systems,8741|8742|8745,ADJACENT,高纯气体供给；制药适用性待逐项目确认,压力式流控和高纯气体系统经验。,先判断客户需要质量流量控制还是压力式流控，不做跨原理参数优劣比较。,控制原理；气体；入口条件；量程；响应；精度；系统集成,FUJIKIN-SERIES-FCSP7000-FCSP8000-882FFB98,HIGH,不能把半导体高纯系统能力直接写成制药主工艺能力。
F900/LF900/UJR/UJL/UJT/UPG,Semiconductor/high-purity components,High-purity fittings and auto-weld components,,PORTFOLIO_ADJACENT,高纯气体与设备内部配管；制药卫生管路并非自动等价,接头和高纯配管组件产品深度明显。,承认接头深度；将竞争边界放回阀门、测量、控制和完整功能模块。,连接原理；材料；洁净等级；泄漏；焊接；安装；文件,FUJIKIN-SERIES-F900-5473313A|FUJIKIN-SERIES-LF900-B2B76351|FUJIKIN-SERIES-UJR-28559EEE|FUJIKIN-SERIES-UJL-UJT-B170D197|FUJIKIN-SERIES-UPG-A9B37E7E,HIGH,与ASME BPE卫生管路、CIP/SIP和制药材料文件的等价性需逐项证明。
FINE PURE IGS/WVG,Semiconductor/high-purity system,Integrated gas system and water-vapor generator,,SYSTEM_ADJACENT,高纯气体系统；不能默认等同洁净蒸汽或制药用水系统,高纯气体系统集成和专用发生设备能力。,先确认介质、行业规范和验证任务，再判断是否与流体控制回路形成竞争。,介质；纯度；系统边界；控制；安全；验证；维护；行业规范,FUJIKIN-SERIES-FINE-SERIES-PURE-IGS-INTEGRATED-GAS-SYSTEM-3D87FB3B|FUJIKIN-SERIES-FINE-SERIES-PURE-WVG-WATER-VAPOR-GENERATOR-D993DC14,HIGH,缺少中国制药系统案例，WVG名称不应被误读为洁净蒸汽发生器。
