burkert_category,burkert_subcategory,burkert_types,gemu_series,fujikin_series,esg_series,overlap_type,pharma_scenario,comparison_dimensions,evidence_ids,confidence,gaps
过程与控制阀,卫生隔膜阀,"2030|2031|2032|2033|2034|2035|2103|2104|2105|2106","GEMÜ 601/602/605/625/650 BioStar/649 eSyDrive","BNW manual and automatic diaphragm valves","A00 pneumatic diaphragm valve",DIRECT,"配液、发酵、纯化、CIP/SIP、无菌输送","阀体结构；DN；316L牌号；Ra；膜片；连接；温压；排空；认证；执行与反馈","BURKERT-CATALOG-002|BURKERT-DIAPHRAGM-001|BURKERT-DIAPHRAGM-002|BURKERT-2103-001|GEMU-650-001|GEMU-649-001|FUJIKIN-BNW-001|ESG-DIAPHRAGM-001",HIGH,"必须锁定具体配置；中国产地、库存和交期仍需项目验证。"
过程与控制阀,多通阀块与特殊卫生阀体,"2034|2035|2036|2104|2105|2106","P600M/P600S/P500M and custom multiport blocks","未发现同等清晰的制药多通阀块系列","T阀、三通及取样阀；复杂阀块能力待证",DIRECT_FOR_GEMU,"低死区分配、混合、排空、罐底、PUPSIT","P&ID；阀位；死区；排空；焊点；加工方式；传感器集成；验证文件","BURKERT-CATALOG-002|BURKERT-PHARMA-001|GEMU-MULTIPORT-001|ESG-SAMPLING-001",HIGH,"Fujikin和ESG需要图纸、案例与加工范围证明。"
过程与控制阀,角座阀/截止阀/调节阀,"2000|2002|2012|2100|2101|2300|2301","GEMÜ 550/554/555 and control-valve portfolio","MINUCON and general control/globe/needle valve portfolio","100 angle-seat valve|105 proportional control valve",DIRECT,"蒸汽、公用工程、CIP/SIP辅助回路、灌装","介质；Cv/Kv；压差；温度；阀座泄漏；执行方式；调节比；定位器","BURKERT-CATALOG-002|BURKERT-COMPANY-001|GEMU-COMPANY-001|FUJIKIN-MINUCON-001|ESG-100-001",MEDIUM,"产品用途跨度大，不得跨不同工况直接比较。"
过程与控制阀,球阀/蝶阀/其他隔离阀,"8804|8805","GEMÜ 480/490 butterfly and 711/728 ball-valve families","Ball/check/general industrial valve portfolio","300 butterfly|400 ball|500 check series",DIRECT_OR_ADJACENT,"公用工程、大口径输送、设备隔离","口径；衬里/密封；卫生等级；压温；执行器；扭矩；失效位","BURKERT-CATALOG-002|BURKERT-COMPANY-001|GEMU-CHINA-002|FUJIKIN-COMPANY-001|ESG-PRODUCT-001",MEDIUM,"具体Bürkert Type以全量目录分类为准；卫生型与通用型须分开。"
执行与控制,控制头/定位器/过程控制器,"8681|8685|8690|8691|8692|8693|8694|8695|8696","GEMÜ 1235/1434/1435/1441 cPos-X","Valve actuation and control accessories; public series mapping incomplete","0P0/0P1 positioners",DIRECT,"卫生阀反馈、调节、分散式自动化","执行器兼容；开关/调节；反馈；信号；协议；诊断；防护；防爆","BURKERT-CATALOG-002|BURKERT-AUTOMATION-001|GEMU-1441-001|GEMU-DIGITAL-001|ESG-AUTOMATION-001",HIGH,"Fujikin具体定位与通信系列需继续核实。"
气动与过程接口,阀岛与气动系统,"8640|8644|8650|8652","阀门执行与控制附件；未发现同等广度阀岛系列","未发现完整阀岛产品族证据","未发现阀岛产品族证据",BURKERT_DIFFERENTIATOR,"撬装设备、发酵、过滤、CIP自动化","阀位数量；气源分区；冗余；热插拔；诊断；协议；防爆；控制柜","BURKERT-CATALOG-002|BURKERT-8652-001|BURKERT-AUTOMATION-001|GEMU-COMPANY-001",HIGH,"缺少公开产品不等于竞品不能通过合作伙伴集成。"
传感器、变送器与控制器,卫生及工业流量测量,"8020|8025|8030|8031|8035|8041|8045|8051|8055|8070|8071|8072|8075|8081|8098","GEMÜ 3030/3021 and flowmeter portfolio","Measurement offering exists but pharma process-flow mapping is limited","未发现自有流量传感器产品族",DIRECT_OR_ADJACENT,"WFI/PW、CIP介质、卫生液体和设备流量监控","测量原理；介质；电导率；口径；量程；精度；直管段；接液件；卫生连接；校准","BURKERT-CATALOG-002|BURKERT-8098-001|BURKERT-PHARMA-001|GEMU-COMPANY-001|ESG-PORTFOLIO-GAP-001",HIGH,"FLOWave与机械式、电磁式或超声式仪表不能只按精度数字比较。"
传感器、变送器与控制器,压力/温度/液位,"8110|8111|8112|8188|8314|8316|8325","GEMÜ pressure/temperature/level measurement portfolio","公开主产品更偏阀件和高纯系统；具体系列待映射","未发现自有过程传感器产品族",ADJACENT,"罐体、公用工程、过滤、制药用水和设备状态监控","测量原理；范围；精度；接液材质；过程连接；卫生设计；输出；认证","BURKERT-CATALOG-002|BURKERT-COMPANY-001|GEMU-COMPANY-001|ESG-PORTFOLIO-GAP-001",MEDIUM,"需按各测量变量继续补充竞品具体系列。"
传感器、变送器与控制器,液体分析与多通道系统,"8200|8201|8202|8220|8221|8222|8228|8232|8905","GEMÜ measurement products; public liquid-analysis breadth limited","生命科学和分析业务不能直接等同于在线过程分析产品族","未发现自有分析测量产品族",BURKERT_DIFFERENTIATOR,"PW/WFI前后处理、公用水、清洗介质和在线水质监测","pH/ORP；电导率；浊度；余氯；采样；多通道；校准；维护；通信","BURKERT-CATALOG-002|BURKERT-COMPANY-001|GEMU-COMPANY-001|ESG-PORTFOLIO-GAP-001",MEDIUM,"制药主工艺使用范围和中国案例需逐产品确认。"
质量流量控制器与流量计,气体/液体MFC与MFM,"8700|8701|8702|8703|8710|8711|8712|8713|8718|8719|8741|8742|8743|8744|8745|8756","MFC不是GEMÜ公开核心产品线","FCS Thermal mass-flow controller family","未发现自有MFC/MFM产品族",DIRECT_FOR_FUJIKIN,"发酵供气、气体配比、精密气液定量、实验室过程","介质；标况；量程；精度定义；响应；压降；校准；阀座；通信；洁净要求","BURKERT-CATALOG-002|BURKERT-8741-001|BURKERT-PHARMA-001|FUJIKIN-FCS-001|ESG-PORTFOLIO-GAP-001",HIGH,"Fujikin中国制药发酵安装、校准和服务证据仍需项目验证。"
