gemu_series,gemu_category,gemu_role,burkert_types,overlap_type,pharma_scenario,gemu_competitive_strength,burkert_response,comparison_dimensions,evidence_ids,evidence_url,confidence,gaps
650,Diaphragm valves,BioStar pneumatic aseptic diaphragm valve,2030|2063|2103,DIRECT,无菌主工艺、配液、纯化、CIP/SIP,不锈钢活塞执行器、广泛阀体构型与卫生符合性组合。,按具体阀体、膜片、自动化和完整控制回路比较，不做品牌级参数外推。,DN；压力；灭菌温度；阀体构型；316L牌号；Ra；膜片；认证；控制头,GEMU-SERIES-650,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/650,HIGH,中国生产、库存、净价和项目交期需内部验证。
649,Diaphragm valves,eSyDrive motorized diaphragm valve,3324|3325|3363|3364|3365,DIRECT,无气源设备、卫生开关阀和精密调节,电动执行器集成参数化、诊断和开关/调节能力。,比较断电策略、调节精度、速度、诊断、现场通信和卫生阀体组合。,推力；速度；控制模式；断电位；通信；IP；阀体构型；温压,GEMU-SERIES-649,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/649,HIGH,不同尺寸和控制版本不能用产品页总范围直接比较。
653|654,Diaphragm valves,Manual hygienic diaphragm valve variants,2030|2063|2103|2933|2973,DIRECT,无菌输送、配液、过滤和卫生设备,BioStar家族覆盖不同执行和尺寸需求，专业系列叙事清晰。,先确认执行方式和尺寸，再选择对应ELEMENT、INOX、CLASSIC或手动系列。,执行方式；DN；压力；温度；连接；阀体；膜片；自动化附件,GEMU-SERIES-653|GEMU-SERIES-654,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/653,HIGH,需按653与654各自配置拆分，不能合并引用参数。
643|P40,Tank bottom valves,Tank-bottom valve families,2033|2065|2105|2935|2975|3235|3325|3365,DIRECT,配液罐、生物反应器和储罐低残留排放,专用罐底阀产品族，便于围绕排空和卫生设计竞争。,以罐体接口、排空方向、死区、焊接方式、自动化和维护空间选型。,罐底接口；排空性；死区；焊接；执行器；膜片；CIP/SIP；维护空间,GEMU-SERIES-643|GEMU-SERIES-P40,https://www.gemu-group.com/en/products/valve-technology/tank-bottom-valves/643,HIGH,需要具体罐图和安装方向，不能只按DN匹配。
P600M/P600S/P500M,Multi-port block valves,Reusable stainless-steel multi-port valve blocks,2034|2035|2036|8806,DIRECT,低死区分配、混合、过滤、PUPSIT和复杂流路,成熟多通阀块工程、传感器集成和制药专业化表达。,用P&ID、阀位、死区、排空、焊点、控制头和系统责任边界逐图竞争。,流路；阀位；死区；排空；加工方式；焊点；传感器；文件；交付,GEMU-SERIES-P600M-P600S-P500M,https://www.gemu-group.com/en/products/customised-product-solutions/multi-port-block-valves/multi-port-valve-blocks-made-of-stainless-steel/,HIGH,项目报价、设计周期和中国加工来源需内部验证。
SUMONDO Multiport|SU40|SUB,Single-use solutions,Single-use diaphragm valves and multi-port blocks,2707,ADJACENT,一次性上游/下游、快速换批和交叉污染控制,可更换接液组件、一次性多通阀块和清洁室制造证据清晰。,不得把软管夹管阀当作等价替代；先确认是否存在一次性接液和验证需求。,一次性边界；接液材料；辐照；洁净室；压力；DN；连接；验证文件,GEMU-SERIES-SUMONDO-MULTIPORT|GEMU-SERIES-SU40|GEMU-SERIES-SUB,https://www.gemu-group.com/en/products/customised-product-solutions/single-use-solutions/single-use-multi-port-valve-blocks/,HIGH,Bürkert当前公开目录未显示同等完整的一次性阀块产品线。
550|554|555,Seat valves,Pneumatic seat and angle-seat valve families,2000|2060|2100|2300,DIRECT,洁净蒸汽、CIP/SIP辅助回路、公用工程和灌装设备,辅助过程阀与GEMÜ卫生主工艺阀形成组合销售。,强调角座阀深度、ELEMENT自动化、流量调节和整套公用工程控制。,介质；阀座；压差；温度；Kv；泄漏；执行器；定位器；蒸汽寿命,GEMU-SERIES-550|GEMU-SERIES-554|GEMU-SERIES-555,https://www.gemu-group.com/en/products/valve-technology/seat-valves/550,MEDIUM,需按具体阀座和工况拆分开关阀与调节阀。
1434|1435|1436|1441,Position and process controllers,Electro-pneumatic position and process controllers,8692|8693|8694|8696|8791|8792,DIRECT,卫生阀调节、设备控制和阀门诊断,从基础定位到智能过程控制形成清晰产品梯度。,比较安装方式、行程、流量、控制算法、协议、诊断和阀体组合。,安装；行程；气耗；流量；输入输出；协议；显示；防护；防爆,GEMU-SERIES-1434|GEMU-SERIES-1435|GEMU-SERIES-1436|GEMU-SERIES-1441,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1441,HIGH,具体协议与移动端功能按版本确认。
1232|1234|1236|1240|1241|1242,Position feedback devices and valve connections,Valve feedback and connection devices,8681|8691|8695,DIRECT_OR_ADJACENT,卫生阀开关反馈、分散自动化和远程状态,反馈装置与自有阀门系列组合完整。,对比控制头是否集成先导阀、诊断、总线、维护与卫生安装。,反馈点；先导阀；协议；IP；防爆；安装；手动操作；诊断,GEMU-SERIES-1232|GEMU-SERIES-1234|GEMU-SERIES-1236|GEMU-SERIES-1240|GEMU-SERIES-1241|GEMU-SERIES-1242,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1234,MEDIUM,历史1235不应默认视为当前系列；以当前sitemap和项目BOM为准。
3020|801|805|806|807|811|815|816|817|820|822|825|830|831|832|835|840|841|845|851|855|857|865|875,Flow meters,Broad industrial flow-meter portfolio,8020|8025|8030|8035|8041|8045|8051|8055|8056|8070|8072|8075|8098,DIRECT_OR_ADJACENT,公用工程、设备流量和部分卫生液体测量,公开系列数量多，可与阀门组合进入设备项目。,按测量原理和卫生适配分层；FLOWave、EMF、叶轮和浮子不可混比。,原理；介质；电导率；量程；精度；压降；接液件；连接；卫生认证,GEMU-SERIES-3020|GEMU-SERIES-801|GEMU-SERIES-805|GEMU-SERIES-806|GEMU-SERIES-807|GEMU-SERIES-811|GEMU-SERIES-815|GEMU-SERIES-816|GEMU-SERIES-817|GEMU-SERIES-820|GEMU-SERIES-822|GEMU-SERIES-825|GEMU-SERIES-830|GEMU-SERIES-831|GEMU-SERIES-832|GEMU-SERIES-835|GEMU-SERIES-840|GEMU-SERIES-841|GEMU-SERIES-845|GEMU-SERIES-851|GEMU-SERIES-855|GEMU-SERIES-857|GEMU-SERIES-865|GEMU-SERIES-875,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters,MEDIUM,需从目录筛出明确适用于制药主工艺的具体系列。
D480|D488|490|491,Butterfly valves,Butterfly valve families,2671|2672|8804|8805,DIRECT_OR_ADJACENT,大口径公用工程、工艺水和设备隔离,中国工厂公开具备蝶阀生产能力，产品族丰富。,区分卫生蝶阀与通用衬里蝶阀，比较阀板、密封、扭矩和执行器。,口径；阀板；衬里；密封；卫生连接；扭矩；执行器；失效位,GEMU-SERIES-D480|GEMU-SERIES-D488|GEMU-SERIES-490|GEMU-SERIES-491,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/d480,MEDIUM,具体中国制造系列和制药适用版本需确认。
B20|B22|B26|B27|B42|B47|B52|B54,Ball valves,Metal ball-valve families,2651|2652|2654|2655|2657|2658|8804|8805,DIRECT_OR_ADJACENT,公用工程、设备隔离和非无菌过程,手动、气动和电动球阀覆盖广。,先确认清洁要求和滞留风险；球阀通常不是无菌主工艺隔膜阀替代。,通径；腔体；密封；排空；连接；执行器；防爆；清洁边界,GEMU-SERIES-B20|GEMU-SERIES-B22|GEMU-SERIES-B26|GEMU-SERIES-B27|GEMU-SERIES-B42|GEMU-SERIES-B47|GEMU-SERIES-B52|GEMU-SERIES-B54,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b42,MEDIUM,卫生型、通用型和高纯型不得合并比较。
Q30|Q40|Q51,Pinch valves,Pinch-valve families,2707,DIRECT_OR_ADJACENT,软管流路、一次性耗材外围和颗粒敏感介质,夹管阀产品族与SUMONDO一次性方案可形成组合。,比较软管规格、夹紧力、寿命、失效位、颗粒兼容和更换便利性。,软管；压力；温度；夹紧力；寿命；执行方式；失效位；洁净边界,GEMU-SERIES-Q30|GEMU-SERIES-Q40|GEMU-SERIES-Q51,https://www.gemu-group.com/en/products/valve-technology/pinch-valves/q40,MEDIUM,软管材料与辐照/生物相容性需按耗材系统验证。
